id_odsp,league,season,fthg,ftag,odd_h,odd_d,odd_a
ADgaeasC/,E0,2012,0,4,8.6,5,1.47
Ak3YZtpo/,D1,2012,1,0,2.94,3.7,2.54
dr3w2hu6/,SP1,2012,1,1,2.72,3.25,3.05
ETOJrtqN/,F1,2012,1,1,2.29,3.28,3.8
GCLWxiRp/,E0,2012,0,2,3.15,3.15,2.72
GtJdbLrA/,F1,2012,1,1,2.44,3.25,3.46
h2drBdIJ/,SP1,2012,2,2,1.98,3.65,4.55
hKNNs0bT/,F1,2012,1,1,2.02,3.38,4.8
IiOgsPiB/,D1,2012,3,1,1.82,3.95,4.9
jFFvbh3A/,E0,2012,1,2,2.58,3.4,3.1
lEwaCsbm/,I1,2012,3,1,1.71,3.9,6.25
nufinDuJ/,SP1,2012,1,0,1.32,6,12.88
O2EgxvMj/,F1,2012,2,0,2.18,3.2,4.4
OpmE5zts/,SP1,2012,2,2,1.71,4.09,5.77
QeYRcpxh/,D1,2012,0,0,7.4,4.9,1.5
r3kgcubG/,F1,2012,3,0,2.78,3.2,3
rTKl0sEc/,F1,2012,1,1,2.52,3.15,3.5
UaRVaEYc/,E0,2012,2,2,2.25,3.45,3.65
W4ZEqMTG/,F1,2012,2,2,2.2,3.2,4.09
WMfeduS5/,E0,2012,2,0,1.72,3.78,6.5
xjhPeMD6/,I1,2012,0,3,2.16,3.36,4.2
0OeqlZA6/,SP1,2012,0,1,21.08,8.4,1.19
0WHEVf0F/,E0,2012,2,0,2.62,3.27,3.15
2L3Z2YPa/,SP1,2012,0,4,9.6,5.5,1.42
4zg3fJdI/,E0,2012,1,5,10,4.82,1.42
650nAGXP/,SP1,2012,1,2,2.72,3.4,3
8jQZbYm4/,E0,2012,2,1,2.14,3.56,3.95
8lemmgQC/,SP1,2012,0,0,1.83,4,4.86
b5tYg0rJ/,I1,2012,0,2,2.9,3.2,2.86
CENctq7H/,D1,2012,1,2,3,3.76,2.48
j5M1u3MN/,D1,2012,3,2,2.68,3.65,2.78
jwbOIqLJ/,I1,2012,3,3,2.2,3.25,4.09
KCtN3EAg/,SP1,2012,0,1,1.87,3.75,4.91
KEsUftTC/,I1,2012,2,0,2.76,3.27,2.98
MZNN1z4o/,E0,2012,6,0,2.06,3.6,4.04
pCFkwK6p/,F1,2012,2,0,1.72,3.8,6.15
QFlLd2b0/,I1,2012,1,2,2.24,3.35,3.9
ryw3B1Dg/,I1,2012,2,0,1.46,4.59,9.6
UPGp1Nbi/,F1,2012,1,1,1.4,5.2,10.17
UTdSH3zQ/,I1,2012,2,0,2.02,3.45,4.5
WhkHcrqf/,I1,2012,0,0,2.94,3.06,3
xjKha1T3/,F1,2012,2,0,2.25,3.5,3.6
zBZfDNrs/,I1,2012,3,1,2.8,3.2,2.96
bglif2yH/,D1,2012,0,2,3.65,3.75,2.16
2H9KABX9/,E0,2012,1,3,2.58,3.35,3.15
88BkPKsg/,I1,2012,1,2,1.5,4.4,9
8I6s1CfC/,SP1,2012,3,0,1.06,18,45.69
As9zE0rc/,F1,2012,5,3,1.61,3.95,8
bFP59NLc/,D1,2012,2,2,2.74,3.55,2.82
